日付,始値,高値,安値,終値
2022年03月03日 14:20,115.643,115.658,115.637,115.654
2022年03月03日 14:30,115.654,115.667,115.646,115.651
2022年03月03日 14:40,115.651,115.652,115.621,115.626
2022年03月03日 14:50,115.626,115.628,115.626,115.628
2022年03月03日 14:50,115.626,115.659,115.626,115.652
2022年03月03日 15:00,115.652,115.687,115.645,115.684
2022年03月03日 15:10,115.684,115.701,115.679,115.692
2022年03月03日 15:20,115.691,115.699,115.684,115.691
2022年03月03日 15:30,115.691,115.693,115.656,115.659
2022年03月03日 15:40,115.659,115.69,115.643,115.686
2022年03月03日 15:50,115.685,115.71,115.685,115.694
2022年03月03日 16:00,115.695,115.701,115.668,115.671
2022年03月03日 16:10,115.671,115.718,115.67,115.701
2022年03月03日 16:20,115.701,115.723,115.698,115.714
2022年03月03日 16:30,115.713,115.734,115.693,115.713
2022年03月03日 16:40,115.714,115.716,115.676,115.683
2022年03月03日 16:50,115.683,115.728,115.683,115.72
2022年03月03日 17:00,115.72,115.754,115.707,115.744
2022年03月03日 17:10,115.745,115.787,115.745,115.77
2022年03月03日 17:20,115.769,115.778,115.739,115.765
2022年03月03日 17:30,115.764,115.77,115.687,115.691
2022年03月03日 17:40,115.691,115.702,115.649,115.694
2022年03月03日 17:50,115.694,115.72,115.674,115.694
2022年03月03日 18:00,115.694,115.732,115.678,115.73
2022年03月03日 18:10,115.73,115.742,115.713,115.724
2022年03月03日 18:20,115.724,115.76,115.707,115.757
2022年03月03日 18:30,115.758,115.768,115.741,115.76
2022年03月03日 18:40,115.76,115.801,115.754,115.795
2022年03月03日 18:50,115.795,115.795,115.761,115.778
2022年03月03日 19:00,115.778,115.78,115.725,115.731
2022年03月03日 19:10,115.731,115.753,115.723,115.738
2022年03月03日 19:20,115.738,115.763,115.727,115.757
2022年03月03日 19:30,115.756,115.763,115.727,115.749
2022年03月03日 19:40,115.749,115.759,115.715,115.721
2022年03月03日 19:50,115.721,115.734,115.706,115.729
2022年03月03日 20:00,115.73,115.74,115.708,115.728
2022年03月03日 20:10,115.728,115.751,115.719,115.739
2022年03月03日 20:20,115.739,115.772,115.736,115.763
2022年03月03日 20:30,115.764,115.777,115.739,115.764
2022年03月03日 20:40,115.764,115.774,115.743,115.751
2022年03月03日 20:50,115.752,115.763,115.724,115.759
2022年03月03日 21:00,115.759,115.76,115.699,115.709
2022年03月03日 21:10,115.709,115.713,115.638,115.659
2022年03月03日 21:20,115.66,115.679,115.641,115.645
2022年03月03日 21:30,115.645,115.709,115.645,115.702
2022年03月03日 21:40,115.703,115.713,115.67,115.688
2022年03月03日 21:50,115.687,115.723,115.676,115.711
2022年03月03日 22:00,115.71,115.727,115.684,115.726
2022年03月03日 22:10,115.726,115.726,115.697,115.71
2022年03月03日 22:20,115.71,115.712,115.648,115.683
2022年03月03日 22:30,115.693,115.701,115.642,115.682
2022年03月03日 22:40,115.682,115.723,115.669,115.67
2022年03月03日 22:50,115.67,115.721,115.64,115.658
2022年03月03日 23:00,115.657,115.696,115.601,115.658
2022年03月03日 23:10,115.658,115.659,115.617,115.632
2022年03月03日 23:20,115.633,115.656,115.619,115.639
2022年03月03日 23:30,115.64,115.668,115.581,115.622
2022年03月03日 23:40,115.622,115.695,115.618,115.673
2022年03月03日 23:50,115.673,115.683,115.597,115.598
2022年03月04日 00:00,115.597,115.597,115.506,115.536
2022年03月04日 00:10,115.536,115.585,115.521,115.571
2022年03月04日 00:20,115.57,115.601,115.556,115.589
2022年03月04日 00:30,115.589,115.615,115.52,115.554
2022年03月04日 00:40,115.554,115.597,115.553,115.577
2022年03月04日 00:50,115.576,115.638,115.575,115.635
2022年03月04日 01:00,115.634,115.645,115.573,115.575
2022年03月04日 01:10,115.576,115.614,115.573,115.61
2022年03月04日 01:20,115.61,115.638,115.603,115.618
2022年03月04日 01:30,115.618,115.636,115.571,115.592
2022年03月04日 01:40,115.592,115.639,115.59,115.633
2022年03月04日 01:50,115.633,115.664,115.624,115.657
2022年03月04日 02:00,115.657,115.678,115.641,115.652
2022年03月04日 02:10,115.651,115.654,115.596,115.633
2022年03月04日 02:20,115.633,115.659,115.611,115.613
2022年03月04日 02:30,115.613,115.657,115.6,115.62
2022年03月04日 02:40,115.619,115.625,115.57,115.571
2022年03月04日 02:50,115.571,115.58,115.551,115.557
2022年03月04日 03:00,115.557,115.557,115.556,115.557
2022年03月04日 03:00,115.557,115.56,115.517,115.519
2022年03月04日 03:10,115.519,115.536,115.5,115.524
2022年03月04日 03:20,115.523,115.537,115.479,115.493
2022年03月04日 03:30,115.493,115.494,115.428,115.462
2022年03月04日 03:40,115.462,115.465,115.425,115.426
